,Author,Title,Publication_year,url,conference,publisher,journal
0,KJ Joseph and Salman Khan and Fahad Shahbaz Khan and Vineeth N Balasubramanian,Towards open world object detection,2021,http://openaccess.thecvf.com/content/CVPR2021/html/Joseph_Towards_Open_World_Object_Detection_CVPR_2021_paper.html,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,,
1,Shivam Chandhok and Vineeth N Balasubramanian,Two-Level Adversarial Visual-Semantic Coupling for Generalized Zero-Shot Learning,2021,http://openaccess.thecvf.com/content/WACV2021/html/Chandhok_Two-Level_Adversarial_Visual-Semantic_Coupling_for_Generalized_Zero-Shot_Learning_WACV_2021_paper.html,Proceedings of the IEEE/CVF Winter Conference on Applications of Computer Vision,,
2,Akshay L Chandra and Sai Vikas Desai and Chaitanya Devaguptapu and Vineeth N Balasubramanian,On Initial Pools for Deep Active Learning,2021,https://proceedings.mlr.press/v148/chandra21a,NeurIPS 2020 Workshop on Pre-registration in Machine Learning,PMLR,
3,Radhika Dua and Sai Srinivas Kancheti and Vineeth N Balasubramanian,Beyond VQA: Generating Multi-Word Answers and Rationales to Visual Questions,2021,http://openaccess.thecvf.com/content/CVPR2021W/MULA/html/Dua_Beyond_VQA_Generating_Multi-Word_Answers_and_Rationales_to_Visual_Questions_CVPRW_2021_paper.html,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,,
4,Puneet Mangla and Vedant Singh and Shreyas Havaldar and Vineeth Balasubramanian,On the benefits of defining vicinal distributions in latent space,2021,https://www.sciencedirect.com/science/article/pii/S0167865521003755,,North-Holland,Pattern Recognition Letters
5,Gaurav Bhatt and Shivam Chandhok and Vineeth N Balasubramanian,Learn from Anywhere: Rethinking Generalized Zero-Shot Learning with Limited Supervision,2021,https://arxiv.org/abs/2107.04952,,,arXiv preprint arXiv:2107.04952
6,Chaitanya Devaguptapu and Devansh Agarwal and Gaurav Mittal and Pulkit Gopalani and Vineeth N Balasubramanian,On Adversarial Robustness: A Neural Architecture Search perspective,2021,https://openaccess.thecvf.com/content/ICCV2021W/AROW/html/Devaguptapu_On_Adversarial_Robustness_A_Neural_Architecture_Search_Perspective_ICCVW_2021_paper.html,Proceedings of the IEEE/CVF International Conference on Computer Vision,,
7,Pranoy Panda and Sai Srinivas Kancheti and Vineeth N Balasubramanian,Instance-wise Causal Feature Selection for Model Interpretation,2021,https://openaccess.thecvf.com/content/CVPR2021W/CiV/html/Panda_Instance-Wise_Causal_Feature_Selection_for_Model_Interpretation_CVPRW_2021_paper.html,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,,
8,Rahul Vigneswaran and Marc T Law and Vineeth N Balasubramanian and Makarand Tapaswi,Feature generation for long-tail classification,2021,https://dl.acm.org/doi/abs/10.1145/3490035.3490300,,,
9,Abbavaram Gowtham Reddy and Vineeth N Balasubramanian,On Causally Disentangled Representations,2021,https://arxiv.org/abs/2112.05746,,,arXiv preprint arXiv:2112.05746
